study_hours,previous_score,attendance,sleep_hours,assignments_completed,practice_test_score,final_score
2,55,65,6,4,52,58
3,60,70,6,5,58,63
4,65,75,7,6,64,68
5,70,80,7,7,70,74
6,72,85,7,8,75,79
7,78,88,8,9,81,85
8,82,90,8,9,85,89
9,88,93,8,10,90,94
1,48,60,5,3,45,51
2,52,68,6,4,50,56
3,58,72,6,5,56,61
4,63,76,7,6,62,66
5,68,82,7,7,68,72
6,75,86,7,8,77,81
7,80,89,8,9,83,87
8,85,92,8,10,88,92
2,57,67,6,4,54,60
3,62,73,7,5,60,65
5,71,81,7,7,72,76
7,79,87,8,9,80,84
4,66,78,6,6,65,69
6,74,84,7,8,73,78
8,87,91,8,10,91,94
3,54,70,6,5,55,60
5,69,83,7,7,70,75
9,90,95,8,10,94,97
1,45,58,5,2,42,48
4,61,77,7,6,63,67
6,76,86,8,8,78,82
7,83,90,8,9,86,90
